,Jan.,Feb.,March,April,May,June,July,August,Sept.,Oct.,Nov.,Dec
Linden St & Knickerbocker Ave,25.0,19.0,39.0,109.0,212.0,262.0,336.0,278.0,262.0,199.0,131.0,66.0
Fairview Ave & Linden St,23.0,26.0,63.0,67.0,155.0,172.0,260.0,261.0,335.0,277.0,151.0,119.0
Stephen St & Seneca Ave,23.0,19.0,27.0,77.0,134.0,106.0,126.0,150.0,127.0,81.0,43.0,21.0
Centre St & Seneca Ave,22.0,37.0,58.0,106.0,154.0,276.0,290.0,294.0,267.0,162.0,127.0,63.0
Broadway & Furman Ave,16.0,18.0,64.0,115.0,244.0,340.0,280.0,263.0,187.0,221.0,145.0,84.0
Grand St & Greene St,9.0,1259.0,1206.0,671.0,1545.0,2174.0,2808.0,3158.0,3199.0,3394.0,2527.0,1559.0
Somers St & Broadway,6.0,9.0,29.0,51.0,174.0,171.0,198.0,175.0,120.0,91.0,64.0,39.0
MTL-AOS-5.1,2.0,,1.0,,,,,,,,,
West End Ave & W 78 St,,399.0,711.0,590.0,1356.0,1482.0,1817.0,177.0,792.0,1797.0,1262.0,990.0
Sands St Gate,,349.0,556.0,430.0,782.0,1023.0,1245.0,1350.0,1430.0,1297.0,1072.0,768.0
24 St & 41 Ave (original),,219.0,,,,,,,,,,
31 Ave & Steinway St (temp),,120.0,,,,,,,,,,
W 30 St & 10 Ave,,49.0,2055.0,1294.0,2652.0,3637.0,4685.0,5957.0,6954.0,6468.0,4929.0,3095.0
Wall St & South St,,,273.0,1139.0,3395.0,4295.0,4703.0,4740.0,4277.0,2880.0,1993.0,222.0
Hoyt St & Warren St,,,79.0,142.0,260.0,569.0,511.0,586.0,606.0,505.0,379.0,244.0
W 169 St & Fort Washington Ave,,,,854.0,4844.0,5007.0,4440.0,2999.0,2037.0,1649.0,1172.0,736.0
West St & Liberty St,,,,14.0,6405.0,8092.0,9036.0,9984.0,10699.0,8884.0,7099.0,3450.0
1 Ave & E 16 St [temporarily removed],,,,,4434.0,,,,,,,
1 Ave & E 18 St [temporarily removed],,,,,4388.0,,,,,,,
W 59 St & West End Ave,,,,,4043.0,5734.0,1379.0,,,,,
LaGuardia Pl & W 3 St [temporarily removed],,,,,1691.0,,,,,,,
W 135 St & Lenox Terrace Pl,,,,,1274.0,1332.0,990.0,984.0,961.0,945.0,662.0,429.0
W Broadway & Spring St [temporarily removed],,,,,1155.0,,,,,,,
Lexington Ave & E 26 St [temporarily removed],,,,,1010.0,,,,,,,
St Nicholas Ave & W 137 St,,,,,897.0,2035.0,1240.0,1377.0,1197.0,967.0,649.0,265.0
E 149 St & Morris Ave,,,,,816.0,865.0,806.0,768.0,488.0,556.0,348.0,279.0
Willoughby Ave & Myrtle Ave [temporarily removed],,,,,762.0,,,,,,,
Lexington Ave & E 29 St [temporarily removed],,,,,737.0,,,,,,,
Greenpoint Ave & Manhattan Ave [temporarily removed],,,,,698.0,,,,,,,
W 31 St & 7 Ave [temporarily removed],,,,,638.0,,,,,,,
Adam Clayton Powell Blvd & W 130 St,,,,,593.0,899.0,590.0,828.0,601.0,609.0,557.0,411.0
Amsterdam Ave & W 136 St,,,,,496.0,610.0,468.0,558.0,586.0,473.0,355.0,156.0
2 Ave & E 125 St,,,,,483.0,945.0,1031.0,1125.0,1142.0,1055.0,697.0,462.0
Amsterdam Ave & W 131 St,,,,,469.0,510.0,424.0,355.0,418.0,390.0,305.0,145.0
E 138 St & 5 Av,,,,,439.0,779.0,697.0,668.0,358.0,694.0,522.0,381.0
5 Ave & E 135 St,,,,,416.0,563.0,451.0,724.0,720.0,647.0,473.0,341.0
Grand Concourse & E 144 St,,,,,410.0,917.0,904.0,691.0,501.0,298.0,214.0,115.0
Willis Ave & Bruckner Blvd,,,,,400.0,462.0,480.0,426.0,434.0,385.0,255.0,116.0
Marcus Garvey Blvd & Macon St    [temporarily removed],,,,,391.0,,,,,,,
E 132 St & Madison Ave,,,,,357.0,845.0,883.0,853.0,901.0,834.0,588.0,381.0
Willis Ave & E 137 St,,,,,281.0,491.0,471.0,401.0,494.0,475.0,333.0,228.0
5 Ave & W 131 St,,,,,281.0,693.0,826.0,788.0,835.0,837.0,632.0,385.0
Lincoln Ave & E 138 St,,,,,278.0,482.0,439.0,497.0,474.0,493.0,380.0,240.0
Lexington Ave & E 128 St,,,,,255.0,418.0,399.0,390.0,494.0,385.0,352.0,166.0
Willis Ave & E 141 St,,,,,238.0,411.0,286.0,355.0,476.0,428.0,275.0,133.0
Willow Ave & E 133 St,,,,,211.0,835.0,822.0,747.0,659.0,305.0,155.0,63.0
Convent Ave & W 135 St,,,,,208.0,273.0,283.0,299.0,305.0,355.0,329.0,154.0
Lincoln Ave & E 134 St,,,,,173.0,334.0,299.0,263.0,276.0,279.0,191.0,109.0
E 128 St & 3 Ave,,,,,116.0,119.0,156.0,178.0,143.0,129.0,73.0,42.0
Morris Ave & E 142 St,,,,,108.0,227.0,232.0,238.0,283.0,307.0,226.0,118.0
E 135 St & St Ann's Ave,,,,,78.0,159.0,170.0,199.0,174.0,200.0,138.0,96.0
Morris Ave & E 153 St,,,,,52.0,833.0,747.0,504.0,280.0,205.0,118.0,44.0
E 138 St & Grand Concourse,,,,,45.0,125.0,174.0,144.0,146.0,134.0,108.0,80.0
E 133 St & Cypress Pl,,,,,35.0,61.0,58.0,51.0,,19.0,45.0,14.0
St. Ann's Av & Bruckner Blvd,,,,,31.0,157.0,164.0,245.0,266.0,166.0,95.0,50.0
Brook Ave & E 141 St,,,,,27.0,151.0,161.0,210.0,133.0,113.0,84.0,46.0
St Mary's St & Jackson Ave,,,,,27.0,298.0,326.0,241.0,268.0,264.0,163.0,70.0
Willis Ave & E 143 St,,,,,17.0,161.0,207.0,138.0,204.0,247.0,142.0,55.0
E 138 St & Willow Ave,,,,,14.0,157.0,130.0,137.0,157.0,79.0,66.0,41.0
St. Ann's Ave & E 144 St,,,,,12.0,255.0,213.0,249.0,249.0,161.0,118.0,58.0
E 134 St & Walnut Ave,,,,,11.0,114.0,169.0,160.0,151.0,84.0,63.0,33.0
Walnut Ave & E 136 St,,,,,2.0,27.0,51.0,95.0,131.0,100.0,91.0,63.0
E 144 St & Brook Ave,,,,,1.0,157.0,134.0,189.0,152.0,182.0,120.0,76.0
Riverside Dr & W 145 St,,,,,,2230.0,2165.0,1413.0,908.0,589.0,524.0,279.0
Bradhurst Ave & W 148 St,,,,,,1868.0,1508.0,1311.0,1320.0,1022.0,613.0,335.0
W 133 St & 12 Ave,,,,,,1358.0,1819.0,1692.0,1529.0,1033.0,370.0,91.0
Riverside Dr & W 138 St,,,,,,1295.0,1600.0,1690.0,1292.0,881.0,786.0,291.0
Lenox Ave & W 144 St,,,,,,1039.0,984.0,1005.0,973.0,812.0,413.0,296.0
Adam Clayton Powell Blvd & W 141 St,,,,,,999.0,944.0,563.0,1127.0,945.0,727.0,409.0
W 146 St & Broadway,,,,,,932.0,893.0,1164.0,1004.0,878.0,723.0,327.0
W 145 St & Amsterdam Ave,,,,,,782.0,661.0,804.0,669.0,593.0,457.0,389.0
St Nicholas Ave & E 134 St,,,,,,775.0,1102.0,1344.0,1469.0,1267.0,866.0,505.0
W 144 St & Adam Clayton Powell Blvd,,,,,,644.0,797.0,907.0,829.0,777.0,484.0,282.0
E 149 St & Jackson Ave,,,,,,627.0,480.0,349.0,409.0,307.0,203.0,110.0
5 Av & W 139 St,,,,,,618.0,1015.0,1299.0,1441.0,1070.0,779.0,554.0
