,Jan.,Feb.,March,April,May,June,July,August,Sept.,Oct.,Nov.,Dec
Pier 40 - Hudson River Park,2341.0,2117.0,3820.0,3530.0,7968.0,9545.0,10594.0,11586.0,10927.0,8572.0,6190.0,2919.0
Washington Pl & 6 Ave,2336.0,2186.0,1868.0,1193.0,2383.0,3704.0,3701.0,4057.0,4652.0,4362.0,3201.0,1773.0
W 35 St & Dyer Ave,2336.0,2125.0,1879.0,1032.0,2063.0,2174.0,2827.0,3345.0,3504.0,2568.0,1828.0,987.0
4 Ave & E 12 St,2301.0,2850.0,1999.0,927.0,1881.0,2659.0,3079.0,3998.0,4484.0,4617.0,3474.0,2477.0
MacDougal St & Washington Sq,2293.0,2112.0,1623.0,1031.0,2291.0,3205.0,3546.0,4256.0,4478.0,3976.0,3391.0,1778.0
W 53 St & 10 Ave,2281.0,2411.0,2176.0,1640.0,3044.0,4210.0,5371.0,7368.0,8139.0,5050.0,3939.0,2345.0
Wythe Ave & Metropolitan Ave,2268.0,2117.0,1821.0,1137.0,2769.0,3585.0,3763.0,4304.0,4304.0,4290.0,2936.0,1701.0
W 70 St & Amsterdam Ave,2262.0,2059.0,2181.0,1667.0,2766.0,3452.0,4109.0,4240.0,4968.0,4507.0,3900.0,2562.0
E 85 St & 3 Ave,2258.0,2167.0,2386.0,1810.0,3514.0,4355.0,5072.0,5312.0,4771.0,5669.0,4773.0,3251.0
Watts St & Greenwich St,2252.0,2061.0,1870.0,1092.0,2291.0,2721.0,3027.0,3363.0,3672.0,3361.0,2441.0,1380.0
Jay St & York St,2246.0,1971.0,1706.0,715.0,1826.0,2054.0,2662.0,2609.0,2658.0,2468.0,2002.0,1338.0
Bayard St & Baxter St,2235.0,2022.0,1649.0,873.0,2035.0,2672.0,3305.0,4236.0,4854.0,4222.0,2910.0,1932.0
E 6 St & Avenue D,2233.0,1866.0,2016.0,1783.0,3555.0,4767.0,4856.0,6352.0,5978.0,4886.0,3724.0,1976.0
Broadway & Battery Pl,2227.0,2620.0,3171.0,1171.0,2526.0,3311.0,3769.0,4275.0,4644.0,4061.0,2932.0,1666.0
Pike St & E Broadway,2219.0,2036.0,1858.0,877.0,1802.0,2328.0,2799.0,3309.0,3575.0,2963.0,2352.0,1916.0
W 15 St & 10 Ave,2176.0,2057.0,1954.0,868.0,2179.0,2991.0,3534.0,4218.0,5012.0,3763.0,2572.0,1172.0
W 64 St & Thelonious Monk Circle,2172.0,2034.0,1954.0,1271.0,2517.0,2995.0,3218.0,3413.0,3703.0,3773.0,2814.0,1880.0
S 5 Pl & S 5 St,2162.0,2108.0,3077.0,3292.0,7521.0,8117.0,7513.0,7284.0,7693.0,6096.0,4674.0,2559.0
E 41 St & Madison Ave,2160.0,1893.0,1520.0,619.0,1255.0,1741.0,1901.0,2101.0,2427.0,2285.0,1748.0,1512.0
5 Ave & E 73 St,2157.0,2202.0,2687.0,2737.0,7029.0,7335.0,7272.0,7981.0,8589.0,6641.0,,
Central Park West & W 85 St,2151.0,2058.0,2617.0,2321.0,5651.0,5836.0,,3869.0,6053.0,4766.0,3752.0,1926.0
E 53 St & Madison Ave,2141.0,1930.0,1491.0,627.0,1169.0,1845.0,3162.0,2732.0,3543.0,3143.0,2682.0,1677.0
E 51 St & Lexington Ave,2134.0,1910.0,1480.0,596.0,1235.0,1286.0,1747.0,1653.0,2226.0,2138.0,1907.0,1213.0
1 Ave & E 5 St,2129.0,2378.0,2085.0,1430.0,2580.0,3878.0,4451.0,5158.0,5233.0,5097.0,3975.0,2594.0
Kent Ave & N 7 St,2109.0,2027.0,2528.0,2448.0,6281.0,7248.0,7511.0,8477.0,6811.0,6569.0,4600.0,2357.0
Cliff St & Fulton St,2101.0,1701.0,1832.0,1162.0,2712.0,3057.0,3270.0,3678.0,4123.0,3420.0,2502.0,1434.0
E 5 St & Avenue C,2088.0,1906.0,1491.0,936.0,1591.0,1981.0,2394.0,2707.0,3349.0,3280.0,2787.0,1587.0
Broadway & W 36 St,2083.0,1856.0,1786.0,768.0,1573.0,1418.0,2383.0,2069.0,3044.0,2832.0,1647.0,1639.0
Fulton St & Adams St,2081.0,1967.0,1609.0,619.0,1654.0,2325.0,1856.0,2088.0,2685.0,2344.0,1660.0,1154.0
2 Ave & E 72 St,2072.0,1953.0,1963.0,1633.0,3066.0,4823.0,5409.0,5349.0,5876.0,5354.0,4688.0,3047.0
E 48 St & 3 Ave,2067.0,1751.0,1394.0,638.0,1282.0,1694.0,2087.0,2233.0,2637.0,2607.0,1858.0,1213.0
Driggs Ave & N 9 St,2061.0,1994.0,1514.0,659.0,1750.0,2049.0,2424.0,2901.0,3233.0,2876.0,2225.0,1358.0
5 Ave & E 88 St,2060.0,2093.0,2802.0,2342.0,5862.0,6057.0,5481.0,5961.0,6203.0,5686.0,4412.0,2629.0
Stanton St & Norfolk St,2050.0,1938.0,1701.0,1002.0,2329.0,3027.0,3509.0,3906.0,4485.0,3932.0,2926.0,1665.0
Little West St & 1 Pl,2041.0,2002.0,2814.0,3029.0,6435.0,7167.0,8067.0,8606.0,7779.0,6560.0,5474.0,2532.0
West Thames St,2024.0,1946.0,2368.0,1913.0,4469.0,5170.0,5239.0,5670.0,5747.0,2536.0,,953.0
E 56 St & 3 Ave,2013.0,1849.0,1534.0,749.0,1548.0,1915.0,2647.0,2595.0,3180.0,2773.0,2023.0,1392.0
Bank St & Washington St,2002.0,1928.0,1891.0,1380.0,3129.0,4065.0,4484.0,4921.0,4545.0,3612.0,2706.0,1596.0
Amsterdam Ave & W 82 St,2002.0,2026.0,1784.0,932.0,2028.0,2689.0,3197.0,4139.0,4518.0,4287.0,3216.0,2244.0
W 50 St & 9 Ave,1981.0,1776.0,1769.0,1540.0,3096.0,4856.0,5097.0,5201.0,5300.0,4349.0,3133.0,1827.0
Lexington Ave & E 36 St,1976.0,1779.0,1702.0,1350.0,2648.0,2999.0,3840.0,3951.0,3432.0,1327.0,3101.0,1982.0
E 74 St & 1 Ave,1971.0,1693.0,1832.0,1144.0,2528.0,3676.0,4193.0,3986.0,4643.0,4336.0,3638.0,2432.0
S 4 St & Wythe Ave,1964.0,2059.0,2013.0,1835.0,4804.0,5434.0,5246.0,6551.0,6816.0,5199.0,3835.0,1821.0
Avenue D & E 3 St,1938.0,1772.0,1473.0,717.0,1641.0,2336.0,2784.0,2865.0,2890.0,2878.0,2458.0,1545.0
Hudson St & Reade St,1931.0,1615.0,1418.0,763.0,1473.0,2145.0,2546.0,2701.0,2473.0,2698.0,2039.0,1230.0
Rivington St & Chrystie St,1923.0,1958.0,1522.0,1021.0,2038.0,2745.0,3376.0,3668.0,4380.0,3935.0,2890.0,1689.0
Columbus Ave & W 95 St,1915.0,2033.0,2298.0,1717.0,2901.0,3475.0,4068.0,4897.0,5119.0,5012.0,4087.0,2785.0
Bond St & Fulton St,1912.0,1610.0,1446.0,1061.0,2711.0,3003.0,2677.0,2636.0,2881.0,2561.0,2073.0,1330.0
Park Ave & E 124 St,1909.0,1719.0,1152.0,385.0,691.0,1215.0,1674.0,1842.0,2313.0,2427.0,1837.0,1138.0
Court St & State St,1905.0,1692.0,1455.0,739.0,1479.0,1777.0,1968.0,2292.0,2572.0,2410.0,2094.0,1353.0
W 42 St & 6 Ave,1902.0,1957.0,1762.0,1293.0,2184.0,2637.0,3212.0,3301.0,3991.0,3745.0,3717.0,2700.0
W 42 St & Dyer Ave,1898.0,1892.0,1766.0,1385.0,2691.0,3062.0,3778.0,3765.0,3599.0,3284.0,2787.0,1794.0
Front St & Washington St,1861.0,1747.0,1640.0,1196.0,2940.0,2937.0,3500.0,4240.0,4738.0,4391.0,2971.0,1759.0
Leonard St & Church St,1839.0,1602.0,1206.0,680.0,1635.0,2310.0,2600.0,2892.0,3332.0,3298.0,2271.0,1410.0
Broadway & W 37 St,1835.0,1483.0,1185.0,411.0,905.0,1194.0,1554.0,2511.0,2504.0,2246.0,1884.0,1121.0
Rivington St & Ridge St,1812.0,1788.0,1942.0,1259.0,2370.0,2965.0,3152.0,3738.0,4122.0,3554.0,2284.0,1566.0
Willoughby St & Fleet St,1807.0,1638.0,1188.0,509.0,1198.0,1589.0,1608.0,1945.0,1828.0,2021.0,1607.0,1089.0
E 59 St & Madison Ave,1800.0,1593.0,1214.0,515.0,1237.0,1896.0,2266.0,2229.0,3325.0,3211.0,2577.0,1432.0
Avenue C & E 18 St,1798.0,1661.0,1586.0,975.0,1939.0,2487.0,3056.0,2869.0,3039.0,2709.0,2076.0,1039.0
W 54 St & 9 Ave,1773.0,2039.0,1892.0,1304.0,2529.0,164.0,1916.0,3128.0,4162.0,4249.0,3141.0,1889.0
Madison St & Clinton St,1749.0,1510.0,1540.0,849.0,1770.0,2492.0,2653.0,3138.0,3353.0,2990.0,2228.0,1429.0
Lenox Ave & W 111 St,1729.0,1727.0,2084.0,1602.0,4202.0,5228.0,3661.0,4356.0,4037.0,3527.0,2618.0,1536.0
West Drive & Prospect Park West,1717.0,1344.0,2340.0,2585.0,6177.0,6288.0,5620.0,5784.0,5850.0,5142.0,4018.0,2236.0
Fulton St & William St,1716.0,1576.0,1504.0,829.0,1760.0,2218.0,2412.0,2959.0,2456.0,2614.0,2101.0,1188.0
St James Pl & Oliver St,1716.0,1422.0,1250.0,649.0,1148.0,1716.0,1896.0,2286.0,2676.0,2698.0,2004.0,1282.0
Berry St & N 8 St,1704.0,1655.0,1225.0,645.0,1611.0,2211.0,3019.0,3238.0,3619.0,3196.0,2515.0,1498.0
W 89 St & Columbus Ave,1701.0,1484.0,1520.0,1001.0,2004.0,2640.0,3314.0,3849.0,3398.0,3162.0,2464.0,1596.0
Clark St & Henry St,1680.0,1654.0,1552.0,853.0,1689.0,1992.0,1991.0,2610.0,2999.0,2278.0,1738.0,1409.0
E 43 St & 2 Ave,1675.0,1478.0,1360.0,836.0,2021.0,2037.0,2402.0,2491.0,3190.0,2573.0,2150.0,1422.0
Dean St & 4 Ave,1672.0,1641.0,1324.0,566.0,1237.0,1575.0,1886.0,2363.0,2167.0,1980.0,1631.0,1100.0
Vernon Blvd & 50 Ave,1669.0,1639.0,1069.0,397.0,1146.0,1508.0,1580.0,1797.0,1988.0,1732.0,1366.0,836.0
W 95 St & Broadway,1649.0,1485.0,1631.0,1178.0,2076.0,2855.0,3128.0,3306.0,3486.0,3308.0,2758.0,1784.0
Catherine St & Monroe St,1647.0,1460.0,1440.0,750.0,1336.0,1918.0,2128.0,2420.0,2686.0,2350.0,1744.0,1240.0
Clinton St & Joralemon St,1633.0,1503.0,1137.0,464.0,960.0,1234.0,1426.0,1685.0,1836.0,1812.0,1471.0,1107.0
Reade St & Broadway,1632.0,1370.0,1185.0,747.0,1430.0,2626.0,2387.0,2347.0,2511.0,2127.0,1596.0,1099.0
Schermerhorn St & Bond St,1629.0,1502.0,1166.0,667.0,1619.0,1740.0,1979.0,2212.0,2339.0,2107.0,1606.0,1163.0
Milton St & Franklin St,1622.0,1679.0,1607.0,1075.0,2670.0,2882.0,3389.0,4419.0,4133.0,3498.0,2473.0,1363.0
Lawrence St & Willoughby St,1621.0,1708.0,1428.0,667.0,1691.0,2107.0,2058.0,2388.0,2683.0,2479.0,1752.0,1201.0
E 51 St & 1 Ave,1620.0,1543.0,1782.0,1245.0,2414.0,2800.0,3040.0,3265.0,3635.0,3361.0,2580.0,1606.0
E 51 St & 2 Ave,1617.0,1478.0,1449.0,1161.0,2375.0,2889.0,3626.0,3778.0,3941.0,3712.0,2968.0,1674.0
W 84 St & Columbus Ave,1617.0,1493.0,1534.0,908.0,1863.0,2467.0,3982.0,5222.0,4270.0,3682.0,2989.0,1632.0
Central Park North & Adam Clayton Powell Blvd,1606.0,1476.0,2187.0,2187.0,6792.0,7874.0,6718.0,6821.0,6873.0,5010.0,4015.0,2266.0
Front St & Maiden Ln,1601.0,1415.0,1438.0,695.0,1529.0,1806.0,2285.0,2558.0,2155.0,1614.0,1361.0,907.0
W 47 St & 6 Ave,1599.0,1552.0,1180.0,462.0,943.0,1379.0,1937.0,1772.0,1871.0,1769.0,1430.0,913.0
Franklin St & W Broadway,1597.0,1354.0,1103.0,608.0,1309.0,1533.0,1868.0,2278.0,2685.0,2460.0,1925.0,1261.0
2 Ave & E 96 St,1587.0,1372.0,1412.0,1153.0,2343.0,2921.0,3391.0,3663.0,3827.0,3582.0,2920.0,1952.0
Clinton Ave & Myrtle Ave,1583.0,1405.0,1115.0,612.0,1247.0,1745.0,1780.0,1966.0,2112.0,1960.0,1748.0,1115.0
3 Ave & E 62 St,1573.0,1424.0,1264.0,855.0,1551.0,1997.0,2455.0,2546.0,2855.0,3374.0,2822.0,1551.0
Central Park West & W 76 St,1572.0,1554.0,1779.0,1554.0,3680.0,3422.0,3320.0,4127.0,3938.0,3774.0,3348.0,2060.0
Water - Whitehall Plaza,1569.0,1279.0,1018.0,477.0,1537.0,1415.0,1692.0,1845.0,1739.0,1355.0,1052.0,487.0
Central Park W & W 96 St,1548.0,1491.0,2102.0,1738.0,4140.0,4530.0,4883.0,3468.0,,,,
Division St & Bowery,1531.0,1929.0,1594.0,744.0,1451.0,2100.0,2487.0,2743.0,2713.0,2526.0,2190.0,1535.0
5 Ave & E 78 St,1527.0,1419.0,1710.0,1526.0,4399.0,4022.0,3782.0,4388.0,4101.0,4261.0,3803.0,2227.0
W 76 St & Columbus Ave,1524.0,1292.0,1310.0,913.0,1741.0,2295.0,2799.0,2639.0,2985.0,2837.0,2251.0,1446.0
Maiden Ln & Pearl St,1511.0,1345.0,1355.0,969.0,1824.0,2352.0,2746.0,3116.0,2919.0,2378.0,1705.0,759.0
Graham Ave & Conselyea St,1506.0,1413.0,1277.0,630.0,1413.0,1941.0,2070.0,1288.0,107.0,2064.0,1723.0,1025.0
Pearl St & Hanover Square,1505.0,1320.0,1499.0,850.0,2008.0,3199.0,3430.0,3830.0,3753.0,3385.0,2007.0,1439.0
7 Ave & Park Pl,1494.0,1415.0,1033.0,499.0,1113.0,1547.0,1532.0,2158.0,2183.0,1894.0,1542.0,898.0
Lafayette Ave & Fort Greene Pl,1477.0,1460.0,1340.0,746.0,1709.0,1951.0,2051.0,2435.0,2714.0,2541.0,1853.0,1233.0
S 3 St & Bedford Ave,1474.0,1399.0,1483.0,850.0,2137.0,2781.0,3106.0,3513.0,4246.0,3388.0,2438.0,1151.0
Park Pl & Church St,1468.0,1275.0,1083.0,514.0,1071.0,1405.0,1720.0,1968.0,2292.0,1982.0,1247.0,777.0
William St & Pine St,1461.0,1412.0,1396.0,833.0,1692.0,2402.0,2669.0,3080.0,3822.0,3962.0,2719.0,1379.0
Broadway & Berry St,1447.0,1343.0,1277.0,938.0,2386.0,2757.0,2810.0,1829.0,187.0,2812.0,2018.0,1170.0
Old Fulton St,1447.0,1311.0,1963.0,1893.0,5160.0,5314.0,5276.0,5858.0,4661.0,3335.0,2212.0,1009.0
E 91 St & 2 Ave,1442.0,1262.0,1504.0,1209.0,2634.0,2902.0,3140.0,3206.0,3694.0,3550.0,2834.0,1858.0
Pike St & Monroe St,1437.0,1385.0,1363.0,997.0,2173.0,2865.0,3055.0,3209.0,3356.0,2870.0,2116.0,1339.0
E 81 St & York Ave,1437.0,1240.0,1338.0,1132.0,2143.0,2645.0,2747.0,2787.0,2988.0,2952.0,2391.0,1531.0
E 58 St & Madison Ave,1435.0,1291.0,1018.0,440.0,1154.0,1412.0,2064.0,1922.0,3199.0,2803.0,816.0,1052.0
E 58 St &  1 Ave (NW Corner),1422.0,1245.0,1305.0,1034.0,2417.0,2609.0,2962.0,2935.0,3121.0,2857.0,2213.0,1509.0
Henry St & Atlantic Ave,1416.0,1268.0,1139.0,606.0,1284.0,1574.0,1847.0,2166.0,2358.0,2199.0,1709.0,1083.0
Riverside Blvd & W 67 St,1409.0,1335.0,1709.0,1363.0,3687.0,4699.0,5059.0,5465.0,5537.0,4505.0,3416.0,1867.0
W Broadway & W Houston St,1400.0,1008.0,870.0,795.0,2263.0,3108.0,3105.0,3616.0,3549.0,3380.0,2379.0,1464.0
Spruce St & Nassau St,1380.0,1356.0,1411.0,1097.0,2104.0,2368.0,2739.0,1833.0,2915.0,2477.0,1896.0,1174.0
Columbia St & Rivington St,1372.0,1089.0,1266.0,690.0,1429.0,1808.0,1933.0,2121.0,2383.0,2215.0,1873.0,1358.0
Broadway & Roebling St,1371.0,1293.0,923.0,532.0,1123.0,1518.0,1899.0,2066.0,1933.0,1648.0,1474.0,896.0
Madison St & Montgomery St,1364.0,1303.0,1308.0,877.0,1632.0,2074.0,2055.0,2286.0,2438.0,2245.0,1645.0,1065.0
Riverside Dr & W 72 St,1359.0,1265.0,2082.0,1656.0,4119.0,5071.0,4628.0,6111.0,4911.0,4797.0,3346.0,1711.0
Bedford Ave & Nassau Ave,1348.0,1274.0,1290.0,865.0,2100.0,2933.0,2941.0,4071.0,4176.0,3064.0,2205.0,1299.0
Hicks St & Montague St,1338.0,1190.0,1168.0,661.0,1579.0,1676.0,1603.0,142.0,1552.0,1855.0,1642.0,1116.0
E 47 St & 1 Ave,1332.0,1161.0,1097.0,726.0,1674.0,1970.0,2036.0,2458.0,2426.0,2186.0,1758.0,1110.0
W 100 St & Broadway,1331.0,1284.0,1409.0,1354.0,2428.0,2674.0,2992.0,3484.0,4125.0,4028.0,3156.0,2182.0
Old Slip & Front St,1331.0,1227.0,509.0,,,,,,,,,
Bialystoker Pl & Delancey St,1312.0,1238.0,981.0,608.0,1154.0,1355.0,1481.0,1716.0,1976.0,217.0,1466.0,937.0
E 77 St & 3 Ave,1311.0,1184.0,1144.0,830.0,1554.0,2156.0,2446.0,2466.0,2736.0,2670.0,2163.0,1438.0
Leonard St & Nassau Ave,1307.0,1187.0,931.0,457.0,1030.0,1381.0,1559.0,1894.0,2039.0,1618.0,1305.0,865.0
Cadman Plaza E & Red Cross Pl,1306.0,1215.0,1046.0,544.0,1409.0,1365.0,1523.0,1531.0,1741.0,1312.0,989.0,789.0
E 84 St & 1 Ave,1304.0,1291.0,1666.0,1398.0,2912.0,3768.0,3971.0,3990.0,4758.0,4211.0,2235.0,2118.0
Centre St & Worth St,1286.0,1032.0,1196.0,530.0,1526.0,2539.0,2368.0,2364.0,2587.0,2101.0,1475.0,954.0
Peck Slip & Front St,1286.0,,,,,,,,,,,
Berkeley Pl & 7 Ave,1286.0,1250.0,1011.0,449.0,1063.0,1219.0,1429.0,534.0,49.0,1708.0,1383.0,1012.0
Market St & Cherry St,1285.0,1293.0,1077.0,708.0,1373.0,1781.0,1814.0,2157.0,2079.0,1763.0,1417.0,1072.0
E 75 St & 3 Ave,1281.0,1185.0,1125.0,760.0,1342.0,1535.0,1920.0,1925.0,2195.0,2332.0,1900.0,1237.0
Union St & 4 Ave,1280.0,1176.0,762.0,444.0,907.0,1015.0,1372.0,1424.0,1566.0,1578.0,1307.0,1044.0
South St & Whitehall St,1277.0,1091.0,1562.0,1398.0,3097.0,3361.0,4445.0,4891.0,4463.0,3361.0,1836.0,903.0
John St & William St,1275.0,1184.0,1112.0,773.0,1393.0,1664.0,2161.0,2572.0,2504.0,2316.0,1554.0,1020.0
5 Ave & E 63 St,1268.0,1086.0,947.0,982.0,3004.0,2580.0,2491.0,2817.0,3438.0,3631.0,2393.0,1297.0
5 Ave & E 103 St,1263.0,1148.0,1447.0,1295.0,3282.0,3406.0,3232.0,3346.0,3411.0,3276.0,2544.0,1642.0
Lafayette Ave & St James Pl,1248.0,1221.0,950.0,410.0,1246.0,1675.0,1846.0,1551.0,1481.0,1428.0,1159.0,667.0
Greenpoint Ave & Manhattan Ave,1248.0,1278.0,1097.0,663.0,,1189.0,1806.0,2156.0,2255.0,1857.0,1508.0,838.0
Carroll St & Smith St,1247.0,973.0,874.0,413.0,889.0,1004.0,1406.0,785.0,277.0,1341.0,1220.0,820.0
Amsterdam Ave & W 66 St,1246.0,1159.0,945.0,559.0,1118.0,1463.0,1355.0,1521.0,1759.0,1820.0,1332.0,1009.0
E 88 St & 1 Ave,1240.0,1188.0,1522.0,1348.0,2719.0,3445.0,3776.0,4094.0,4264.0,4186.0,3011.0,2029.0
Meserole Ave & Manhattan Ave,1238.0,1203.0,1082.0,669.0,1290.0,1533.0,1733.0,1862.0,1987.0,1967.0,1569.0,1065.0
W 18 St & 9 Ave,1235.0,1159.0,899.0,502.0,1009.0,1390.0,1662.0,1624.0,1827.0,1550.0,1201.0,827.0
W 84 St & Broadway,1231.0,1083.0,1207.0,845.0,1475.0,1764.0,2172.0,3528.0,2723.0,2633.0,2119.0,1451.0
Grand St & Havemeyer St,1222.0,1214.0,1159.0,722.0,1707.0,2206.0,2644.0,1903.0,133.0,2433.0,1947.0,926.0
E 81 St & 2 Ave,1212.0,1102.0,1276.0,1081.0,2014.0,2391.0,3061.0,3296.0,3748.0,3367.0,2537.0,1478.0
Douglass St & 3 Ave,1211.0,1051.0,675.0,297.0,495.0,454.0,615.0,678.0,804.0,800.0,764.0,551.0
Adelphi St & Myrtle Ave,1211.0,1128.0,872.0,406.0,945.0,1254.0,1356.0,1680.0,1623.0,1509.0,1249.0,905.0
Duane St & Greenwich St,1211.0,996.0,846.0,626.0,1327.0,1755.0,1751.0,2035.0,2185.0,1764.0,1237.0,824.0
State St & Smith St,1210.0,1058.0,1001.0,343.0,1058.0,1206.0,1558.0,1798.0,2153.0,1914.0,1510.0,1103.0
Cherry St,1209.0,1136.0,1649.0,1483.0,3232.0,3592.0,3467.0,3703.0,3890.0,2893.0,2328.0,1317.0
Montague St & Clinton St,1190.0,1110.0,982.0,395.0,1129.0,1514.0,1418.0,1819.0,2138.0,1775.0,1358.0,969.0
E 72 St & Park Ave,1186.0,977.0,922.0,639.0,1403.0,1724.0,1718.0,1752.0,2207.0,2233.0,2107.0,1168.0
Henry St & Degraw St,1179.0,1065.0,866.0,453.0,816.0,924.0,929.0,1203.0,1209.0,1190.0,959.0,668.0
W 74 St & Columbus Ave,1176.0,1129.0,1092.0,812.0,1555.0,1923.0,2223.0,2480.0,3077.0,2649.0,2275.0,1494.0
Congress St & Clinton St,1173.0,951.0,1025.0,573.0,1192.0,1582.0,1690.0,1757.0,1643.0,1828.0,1309.0,862.0
E 81 St & 3 Ave,1170.0,1096.0,1073.0,832.0,1389.0,1744.0,1947.0,1850.0,2408.0,2183.0,1892.0,1302.0
Schermerhorn St & Court St,1158.0,980.0,918.0,463.0,1072.0,1221.0,1258.0,1552.0,1752.0,1515.0,1374.0,1020.0
Duffield St & Willoughby St,1156.0,1042.0,1130.0,628.0,1522.0,1649.0,1680.0,1906.0,1954.0,2022.0,1405.0,914.0
Hope St & Union Ave,1151.0,1040.0,1178.0,1000.0,1906.0,2415.0,2571.0,3018.0,3164.0,2783.0,2017.0,1092.0
Atlantic Ave & Fort Greene Pl,1146.0,1194.0,1046.0,745.0,1688.0,2432.0,2105.0,2134.0,2034.0,1980.0,1588.0,1165.0
E 65 St & 2 Ave,1139.0,896.0,912.0,770.0,1606.0,2156.0,2495.0,2488.0,2765.0,2913.0,2400.0,1547.0
Queens Plaza North & Crescent St,1139.0,1196.0,1797.0,1763.0,5155.0,5555.0,4989.0,5028.0,4902.0,4160.0,3345.0,1785.0
Macon St & Nostrand Ave,1135.0,1012.0,754.0,421.0,796.0,1337.0,1322.0,1443.0,1482.0,1422.0,1077.0,762.0
W 87 St & Amsterdam Ave,1135.0,1013.0,1188.0,842.0,1522.0,1904.0,2263.0,387.0,2422.0,2503.0,2206.0,1400.0
Lenox Ave & W 117 St,1135.0,1057.0,982.0,584.0,1241.0,1614.0,2022.0,2335.0,2627.0,2289.0,1929.0,1209.0
Avenue D & E 12 St,1117.0,826.0,871.0,559.0,1155.0,1617.0,1574.0,300.0,,,,
Flushing Ave & Vanderbilt Ave,1117.0,1153.0,1005.0,579.0,1222.0,1380.0,1754.0,2033.0,2256.0,1787.0,1509.0,1058.0
E 89 St & 3 Ave,1116.0,1046.0,1187.0,1068.0,1917.0,2268.0,2648.0,2853.0,3379.0,2881.0,2456.0,1482.0
E 89 St & York Ave,1110.0,933.0,1049.0,840.0,1545.0,1761.0,2152.0,2277.0,2469.0,2695.0,2070.0,1462.0
Front St & Jay St,1108.0,1042.0,1090.0,716.0,1760.0,1782.0,2122.0,2719.0,2469.0,2346.0,1695.0,1155.0
Stanton St & Mangin St,1108.0,1071.0,1017.0,591.0,1436.0,1902.0,2077.0,2482.0,2691.0,2474.0,1616.0,768.0
Jay St & Tech Pl,1105.0,1247.0,1226.0,708.0,1802.0,2456.0,2348.0,2342.0,2976.0,2883.0,1964.0,1101.0
Broad St & Bridge St,1096.0,923.0,763.0,304.0,994.0,1245.0,1655.0,1881.0,1758.0,1569.0,1053.0,582.0
Frederick Douglass Blvd & W 117 St,1096.0,1135.0,1425.0,1117.0,2286.0,3486.0,3670.0,4142.0,4375.0,3852.0,3024.0,1750.0
Huron St & Franklin St,1095.0,1017.0,985.0,766.0,1554.0,1948.0,2175.0,2446.0,2282.0,2138.0,1653.0,839.0
E 76 St & Park Ave,1088.0,862.0,987.0,586.0,1349.0,1727.0,1728.0,1745.0,2321.0,2282.0,2061.0,1535.0
E 56 St & Madison Ave,1087.0,999.0,804.0,341.0,920.0,1353.0,1964.0,1895.0,2114.0,2162.0,839.0,1164.0
N 12 St & Bedford Ave,1085.0,1003.0,983.0,783.0,1893.0,2412.0,2504.0,3130.0,778.0,2148.0,1546.0,823.0
Banker St & Meserole Ave,1084.0,1038.0,808.0,350.0,945.0,1073.0,1073.0,1315.0,1258.0,1233.0,817.0,627.0
Bergen St & Flatbush Ave,1083.0,887.0,854.0,517.0,1215.0,1431.0,1712.0,661.0,2065.0,1900.0,1427.0,869.0
Pleasant Ave & E 116 St,1082.0,1024.0,1188.0,1010.0,1822.0,2255.0,2472.0,2427.0,3079.0,2758.0,2479.0,1671.0
Harrison St & Hudson St,1074.0,961.0,835.0,234.0,719.0,995.0,1438.0,1471.0,1614.0,1434.0,1028.0,581.0
St Nicholas Ave & Manhattan Ave,1059.0,895.0,848.0,663.0,1250.0,1740.0,1987.0,2186.0,2721.0,2562.0,2124.0,1444.0
W 92 St & Broadway,1054.0,925.0,965.0,721.0,1227.0,1481.0,1618.0,1934.0,2114.0,2066.0,1694.0,1143.0
Devoe St & Lorimer St,1047.0,1045.0,855.0,484.0,1242.0,1548.0,1675.0,1957.0,2041.0,1708.0,1250.0,788.0
Madison Ave & E 82 St,1045.0,992.0,963.0,668.0,1521.0,1661.0,1738.0,2116.0,3622.0,2990.0,2429.0,1329.0
Kent Ave & S 11 St,1041.0,950.0,1106.0,1096.0,2608.0,3110.0,2836.0,3282.0,3336.0,3037.0,2040.0,1055.0
E 63 St & 3 Ave,1037.0,1005.0,951.0,638.0,1447.0,1951.0,2052.0,2247.0,2297.0,1468.0,879.0,1188.0
Grand Army Plaza & Plaza St West,1034.0,913.0,1886.0,2065.0,4964.0,5549.0,4558.0,5325.0,5127.0,3934.0,2955.0,1278.0
Riverside Dr & W 82 St,1034.0,846.0,1384.0,1037.0,2415.0,2705.0,2556.0,3341.0,3068.0,2601.0,2007.0,1187.0
India St & Manhattan Ave,1029.0,1021.0,1156.0,686.0,1500.0,1902.0,1927.0,2083.0,2371.0,2054.0,1522.0,817.0
Union Ave & N 12 St,1027.0,1011.0,1338.0,1246.0,3024.0,4131.0,3945.0,4695.0,4807.0,3429.0,2548.0,1164.0
Kane St & Clinton St,1026.0,886.0,773.0,297.0,708.0,936.0,992.0,1070.0,1440.0,1245.0,979.0,584.0
Metropolitan Ave & Meeker Ave,1019.0,1070.0,877.0,520.0,1310.0,1610.0,1755.0,2258.0,2280.0,1880.0,1481.0,714.0
Central Park West & W 100 St,1018.0,963.0,1504.0,1642.0,4054.0,3771.0,4377.0,2177.0,,,,
