,Jan.,Feb.,March,April,May,June,July,August,Sept.,Oct.,Nov.,Dec
E 16 St & 5 Ave,4349.0,4024.0,3019.0,1134.0,2283.0,3134.0,4591.0,5749.0,5978.0,5299.0,3752.0,2626.0
Cleveland Pl & Spring St,4295.0,4002.0,3379.0,1759.0,3449.0,5636.0,7702.0,8605.0,9248.0,8336.0,6144.0,4081.0
E 20 St & 2 Ave,4239.0,3762.0,3250.0,1883.0,3765.0,6688.0,5785.0,2720.0,,3094.0,4347.0,2749.0
W 22 St & 8 Ave,4205.0,3726.0,3177.0,1853.0,3488.0,4770.0,5355.0,5968.0,6768.0,6112.0,4865.0,3204.0
W 22 St & 10 Ave,4192.0,3871.0,3321.0,2021.0,4316.0,5434.0,6299.0,7319.0,8637.0,8197.0,5677.0,3312.0
W 52 St & 6 Ave,4170.0,3682.0,2879.0,823.0,1487.0,1989.0,2484.0,2648.0,3324.0,3297.0,1971.0,1442.0
1 Ave & E 18 St,4128.0,3872.0,3329.0,2188.0,,215.0,4491.0,6314.0,7503.0,6419.0,4612.0,3107.0
2 Ave & E 31 St,4106.0,3664.0,3445.0,2514.0,4828.0,5977.0,6635.0,7292.0,7349.0,6415.0,5475.0,3598.0
E 15 St & 3 Ave,4106.0,3708.0,3227.0,1730.0,3262.0,4670.0,4752.0,6069.0,6709.0,6376.0,4848.0,2898.0
E 25 St & 2 Ave,4065.0,3851.0,3340.0,1924.0,4630.0,5523.0,6174.0,2607.0,,5454.0,4827.0,3051.0
W 15 St & 7 Ave,4020.0,3709.0,3302.0,2253.0,4135.0,5316.0,5846.0,6618.0,7130.0,6178.0,3898.0,2651.0
E 39 St & 2 Ave,4011.0,3446.0,3521.0,2176.0,4247.0,5872.0,6936.0,7239.0,236.0,,,
Barrow St & Hudson St,4007.0,3712.0,3185.0,1609.0,3357.0,4321.0,4568.0,5600.0,5967.0,5324.0,3987.0,2118.0
E 10 St & Avenue A,3981.0,3668.0,3322.0,2255.0,4328.0,5458.0,7051.0,8374.0,8650.0,9307.0,6601.0,3272.0
E 7 St & Avenue A,3963.0,3935.0,3046.0,1715.0,3726.0,5041.0,5408.0,5783.0,6795.0,6395.0,5343.0,3411.0
Broadway & W 49 St,3917.0,3637.0,3031.0,1426.0,2913.0,3343.0,3995.0,4261.0,5427.0,4968.0,3945.0,2225.0
E 2 St & Avenue A,3904.0,3773.0,2804.0,1584.0,3125.0,3793.0,4578.0,5307.0,6064.0,5500.0,4138.0,2653.0
MacDougal St & Prince St,3886.0,3356.0,2916.0,1832.0,3987.0,5597.0,6005.0,6314.0,6182.0,6104.0,4673.0,2543.0
E 20 St & Park Ave,3877.0,3494.0,2587.0,1124.0,2191.0,2935.0,4095.0,4903.0,5519.0,5438.0,4094.0,2562.0
5 Ave & E 29 St,3859.0,3518.0,2806.0,1218.0,2601.0,3351.0,4480.0,5029.0,5206.0,5004.0,3782.0,2501.0
E 23 St & 1 Ave,3855.0,3636.0,3127.0,1743.0,3634.0,5131.0,5091.0,6392.0,7326.0,5791.0,4405.0,3013.0
W 4 St & 7 Ave S,3845.0,3637.0,3292.0,2196.0,4492.0,6403.0,7240.0,8131.0,7712.0,7331.0,5242.0,3066.0
Lafayette St & Jersey St,3841.0,3673.0,2712.0,1082.0,2431.0,3611.0,4944.0,5697.0,6306.0,5622.0,4360.0,2997.0
W 20 St & 7 Ave,3807.0,3429.0,2783.0,1658.0,2814.0,2917.0,4858.0,5494.0,5233.0,5250.0,4040.0,2382.0
South End Ave & Liberty St,3806.0,3368.0,3812.0,2500.0,,,,,,,,
E 4 St & 2 Ave,3786.0,3665.0,2947.0,1615.0,3094.0,4137.0,5040.0,6055.0,6401.0,5889.0,4297.0,2742.0
Canal St & Rutgers St,3767.0,3354.0,2801.0,1630.0,3354.0,4560.0,5812.0,6430.0,7067.0,5790.0,4620.0,3026.0
E 6 St & Avenue B,3760.0,3499.0,2658.0,1564.0,3010.0,3947.0,4816.0,5419.0,5838.0,6212.0,2686.0,1390.0
E 11 St & 2 Ave,3755.0,3611.0,3204.0,2010.0,4076.0,5478.0,6218.0,7352.0,7871.0,1115.0,4024.0,2923.0
W 25 St & 6 Ave,3741.0,3580.0,2621.0,1454.0,2461.0,3357.0,4281.0,4835.0,5391.0,5024.0,3460.0,2315.0
Vesey Pl & River Terrace,3729.0,3231.0,3036.0,1543.0,3403.0,4099.0,4550.0,4894.0,5221.0,4481.0,3198.0,1641.0
W 34 St & 11 Ave,3725.0,3278.0,2665.0,1019.0,2364.0,2791.0,3102.0,3632.0,5715.0,4908.0,3463.0,2030.0
E 11 St & 1 Ave,3704.0,3573.0,2886.0,1641.0,3337.0,5397.0,5236.0,5902.0,6207.0,1232.0,3557.0,2513.0
Grand Army Plaza & Central Park S,3694.0,3278.0,3265.0,2247.0,5996.0,6253.0,6614.0,6600.0,3116.0,938.0,5557.0,3401.0
E 31 St & 3 Ave,3693.0,3485.0,3174.0,2018.0,4320.0,5065.0,5881.0,6523.0,6779.0,6390.0,4810.0,3007.0
Clinton St & Grand St,3688.0,3481.0,3587.0,2789.0,4326.0,5007.0,5952.0,6494.0,6767.0,6691.0,5462.0,3956.0
E 2 St & 2 Ave,3670.0,3423.0,2326.0,1421.0,2651.0,3383.0,4155.0,4800.0,5137.0,4595.0,3189.0,2012.0
FDR Drive & E 35 St,3655.0,3183.0,3557.0,2411.0,5710.0,7198.0,8991.0,9503.0,9129.0,7070.0,5067.0,2904.0
Amsterdam Ave & W 73 St,3651.0,3574.0,3305.0,2088.0,3893.0,4695.0,5823.0,5847.0,6573.0,6059.0,5044.0,3412.0
W 42 St & 8 Ave,3647.0,3331.0,2301.0,1023.0,1951.0,2938.0,3503.0,3935.0,4266.0,3927.0,2966.0,2174.0
E 48 St & 5 Ave,3642.0,3153.0,2287.0,672.0,1467.0,2529.0,3950.0,3249.0,3300.0,3075.0,2543.0,2376.0
11 Ave & W 41 St,3615.0,3384.0,3417.0,2489.0,4778.0,5969.0,7209.0,7639.0,7765.0,7078.0,5612.0,3631.0
11 Ave & W 27 St,3609.0,3161.0,2426.0,1305.0,3091.0,3813.0,4662.0,4959.0,5467.0,4460.0,2996.0,1850.0
St Marks Pl & 2 Ave,3593.0,3548.0,2840.0,1635.0,3087.0,4113.0,5006.0,5858.0,6270.0,7852.0,3504.0,2048.0
E 39 St & 3 Ave,3551.0,3297.0,2641.0,1273.0,2740.0,3388.0,4240.0,4557.0,726.0,,,
W 13 St & 7 Ave,3545.0,3469.0,2557.0,1328.0,2297.0,3425.0,3702.0,4195.0,4486.0,4364.0,3436.0,2246.0
9 Ave & W 45 St,3542.0,3327.0,3033.0,1910.0,3797.0,5120.0,5814.0,6167.0,6246.0,5553.0,4300.0,2797.0
Allen St & Stanton St,3541.0,3285.0,2708.0,1448.0,3011.0,4075.0,5123.0,5621.0,6115.0,5520.0,4215.0,2710.0
8 Ave & W 52 St,3528.0,3172.0,3176.0,2407.0,4846.0,6333.0,6680.0,7183.0,6875.0,6306.0,4836.0,3201.0
6 Ave & W 34 St,3499.0,3176.0,2840.0,1607.0,3196.0,4245.0,6167.0,7177.0,6625.0,6571.0,2093.0,3590.0
Mercer St & Bleecker St,3496.0,3572.0,2825.0,979.0,2297.0,3446.0,3876.0,4391.0,4891.0,4573.0,3601.0,2269.0
E 53 St & Lexington Ave,3489.0,3009.0,2782.0,928.0,1200.0,2739.0,2927.0,2983.0,3370.0,3202.0,2092.0,1323.0
St Marks Pl & 1 Ave,3441.0,3237.0,2480.0,1513.0,3262.0,3892.0,4638.0,5562.0,6216.0,6690.0,5000.0,2860.0
E 2 St & Avenue B,3411.0,3339.0,2772.0,1529.0,2959.0,4184.0,5026.0,5758.0,6545.0,5810.0,4333.0,2741.0
W 49 St & 8 Ave,3384.0,3028.0,2722.0,1607.0,3183.0,4397.0,5154.0,5470.0,6113.0,6091.0,4219.0,2841.0
Washington St & Gansevoort St,3355.0,3112.0,2825.0,1245.0,3081.0,3554.0,4719.0,5927.0,6617.0,5623.0,3675.0,2172.0
E 33 St & 5 Ave,3345.0,3078.0,2246.0,1105.0,2332.0,3181.0,3967.0,4318.0,4858.0,4438.0,3563.0,1423.0
Gansevoort St & Hudson St,3340.0,3242.0,2522.0,1050.0,2439.0,3205.0,4862.0,5242.0,5767.0,5109.0,3736.0,1988.0
W 45 St & 8 Ave,3328.0,3188.0,2353.0,1256.0,2483.0,2584.0,3151.0,3622.0,3706.0,3596.0,2839.0,1861.0
6 Ave & Broome St,3323.0,3143.0,2968.0,1653.0,3552.0,4817.0,5117.0,5636.0,5291.0,4838.0,3705.0,2457.0
Norfolk St & Broome St,3311.0,3087.0,2775.0,1862.0,3710.0,4746.0,5020.0,5456.0,5938.0,5089.0,4008.0,2747.0
