,Jan.,Feb.,March,April,May,June,July,August,Sept.,Oct.,Nov.,Dec
Subscriber,1145819,1054927,914068,516495,1012059,1306688,1530982,1671914,1817674,1702115,1362408,920617
Customer,94777,91903,154389,166267,475831,575585,574826,657600,670551,546754,374296,168312
